sentence	label
the disjointed mess flows as naturally as jolie's hideous yellow 'do .	0
it's a road-trip drama with too many wrong turns .	0
if we don't demand a standard of quality for the art that we choose , we deserve the trash that we get .	0
has the marks of a septuagenarian ; it's a crusty treatment of a clever gimmick .	0
the movie quickly drags on becoming boring and predictable . i tried to read the time on my watch .	0
jaglom offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar .	0
meticulously mounted , exasperatingly well-behaved film , which ticks off kahlo's lifetime milestones with the dutiful precision of a tax accountant .	0
although based on a real-life person , john , in the movie , is a rather dull person to be stuck with for two hours .	0
 . . . a cinematic disaster so inadvertently sidesplitting it's worth the price of admission for the ridicule factor alone .	0
obstacles are too easily overcome and there isn't much in the way of character development in the script .	0
makes the same mistake as the music industry it criticizes , becoming so slick and watered-down it almost loses what made you love it in the first place .	0
full of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general air of misogyny	0
earnest falls short of its ideal predecessor largely due to parker's ill-advised meddling with the timeless source material .	0
a depressingly retrograde , 'post-feminist' romantic comedy that takes an astonishingly condescending attitude toward women .	0
 . . . familiar and predictable , and 4/5ths of it might as well have come from a xerox machine rather than ( writer-director ) franc . reyes' word processor .	0
nicholson's understated performance is wonderful . as warren he stumbles in search of all the emotions and life experiences he's neglected over the years .	1
confessions may not be a straightforward bio , nor does it offer much in the way of barris' motivations , but the film is an oddly fascinating depiction of an architect of pop culture .	1
fast and funny , an action cartoon that's suspenseful enough for older kids but not too scary for the school-age crowd .	1
you don't need to be a hip-hop fan to appreciate scratch , and that's the mark of a documentary that works .	1
the tonal shifts are jolting , and though wen's messages are profound and thoughtfully delivered , more thorough transitions would have made the film more cohesive .	1
[woo's] most resonant film since the killer .	1
even though the film doesn't manage to hit all of its marks , it's still entertaining to watch the target practice .	1
overall very good for what it's trying to do .	1
lapaglia's ability to convey grief and hope works with weaver's sensitive reactions to make this a two-actor master class .	1
nonchalantly freaky and uncommonly pleasurable , warm water may well be the year's best and most unpredictable comedy .	1
there is greatness here .	1
an eloquent , reflective and beautifully acted meditation on both the profoundly devastating events of one year ago and the slow , painful healing process that has followed in their wake .	1
proves that some movie formulas don't need messing with -- like the big-bug movie .	1
colorful , energetic and sweetly whimsical . . . the rare sequel that's better than its predecessor .	1
at just over an hour , home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face .	1
fubar is very funny , but not always in a laugh-out-loud way .	1
supposedly based upon real , or at least soberly reported incidents , the film ends with a large human tragedy . alas , getting there is not even half the interest .	0
