sentence	label
What causes `` rolling thunder '' ?	0
What is a gandy dancer ?	0
What are equity securities ?	0
What does Venus Retrograde mean ?	0
Why are organ transplants more successful today ?	0
What is Greek pita ?	0
What causes canker sores in the mouth ?	0
What are you hearing when you put a seashell to your ear ?	0
What is the Socratic method ?	0
How can I find a list of , fax and or email , addresses for human resource departments in Massachusetts ?	0
How do you get dates with the `` Hooters '' girls ?	0
What do Japanese school uniforms look like ?	0
How is Easter Sunday 's date determined ?	0
Why are there 12 people on a jury in criminal cases ?	0
What is the Motto for the State of Maryland ?	0
Give a reason for American Indians oftentimes dropping out of school .	0
What is a fear of color ?	1
What was the first Sam Spade novel ?	1
What dangles over the tongue from the palate ?	1
What was the favorite sport of Tom Wolfe 's The Pump House Gang ?	1
What are different products of petroleum ?	1
What 's the official language of Algeria ?	1
What line of candy products included Super Skrunch and Peanut Butter Oompas ?	1
What 's the No. 1 killer in industrialized countries ?	1
What was the name of the American ship sunk by a mine in Havana harbor , causing the Spanish-American war ?	1
What is the fear of frogs ?	1
What Aesop 's fable has the moral : `` The race is not always to the swift. Slow and steady is bound to win '' ?	1
What plant is rum made from ?	1
What is another word for diet ?	1
What is the longest word in the English language ?	1
What literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?	1
What is `` the bear of beers '' ?	1
What does U.S.S.R. stand for ?	2
What is the abbreviation of General Motors ?	2
What does INRI stand for when used on Jesus ' cross ?	2
What does the word LASER mean ?	2
What is a `` USB '' port on a computer ?	2
What does the `` c '' stand for in the equation E=mc2 ?	2
What does NECROSIS mean ?	2
What does the abbreviation cwt. ?	2
What is the abbreviated form of the National Bureau of Investigation ?	2
What does e.g. stand for ?	2
What is the abbreviated expression for the National Bureau of Investigation ?	2
What is BPH ?	2
What is the abbreviation of the company name ` General Motors ' ?	2
CNN is the abbreviation for what ?	2
What is HTML ?	2
What does S.O.S. stand for ?	2
Who invented the game Scrabble ?	3
What National League baseball team employed 72 third baseemen in its first 2 seasons ?	3
Name Alvin 's brothers	3
Who was made the first honorary citizen of the U.S. ?	3
What U.S. President had brothers-in-law in the Confederate army ?	3
Name a canine cartoon character other than Huckleberry Hound to have a voice by Daws Butler .	3
What famous soldier was born in Europe , died in Asia , and was laid to rest in Africa ?	3
What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?	3
What was the name of Darth Vader 's son ?	3
What Honeymooners actress did Television magazine name as 1953 's most promising star ?	3
What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?	3
Who was Gerald Ford 's vice president ?	3
What 's the better-known identity of John Merrick , the noble ogre of Victorian England ?	3
Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?	3
Who made the first gas engine ?	3
Who is the monarch of the United Kingdom ?	3
How many bones are there in the human hand ?	5
How much waste does an average dairy cow produce in a day ?	5
How many URL extensions are there ? and what are they ?	5
What does each of the utilities cost in Monopoly ?	5
What is the busiest air travel season ?	5
What is the student population at the University of Massachusetts in Amherst ?	5
In what year was the first patent for the pull-tab opener on cans obtained ?	5
In what year did China and the Republic of Korea establish diplomatic relations ?	5
How many games are played in a five-team round-robin tournament ?	5
In what year was actress Joan Collins born ?	5
What month were you born in if your birthstone is sardonyx ?	5
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize ?	5
What is the exchange rate for Australian to American money ?	5
When did the `` Star-Spangled Banner '' become the national anthem ?	5
How many presidents have died on the 4th of July ?	5
How many degrees cooler is the inside of a cucumber than the air outside ?	5
What is one of the cities that the University of Minnesota is located in ?	4
Where was `` I have fallen , and I can 't get up '' said first ?	4
What continent is Bolivia on ?	4
Where can I find a list of `` classic '' books 5th and 6th graders should read ?	4
Where 's the Petrified Forest ?	4
What country boasts the most dams ?	4
What African country is governed from Ouagadougou ?	4
What country is Kosovo a part of ?	4
Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?	4
Where is the actress , Marion Davies , buried ?	4
What country 's capital is Lagos ?	4
What is the Homelite Inc. home page ?	4
Where did cable cars first roll down Clay Street in 1873 ?	4
Where is the Kentucky Horse Park located ?	4
What state has the longest Great Lakes shoreline ?	4
Where did Sarge Steel get his metal hand ?	4
