sentence	label
why i can not downlod the chating software (2.0)and enter the chat room?	4
how do i delete the list of things i have previously looked for from the yahoo search window?	4
benefits from computer?	4
How can I close tcp 23?	4
Which is better, a dual core laptop or a laptop with athlon 64 cpu? and why.?	4
Doe anyone know know if the Linksys wireless G router WRT54 is compatible w/ hp pavilion dv1580se notebook?	4
every time we play a game the Mouse disappears?	4
how do i find my answer?	4
how can i get my dmv for free online?	4
Is there a way to use my Canon ZR60 Digital Camcorder as a Webcam?	4
how do i boot people on chat and hit them back when booting me?	4
will msn messenger run on the xbox 360?	4
Where can I find a web site that compares betwin image viewers software ?	4
how to put a mpg movie to be played in a regular dvd player?	4
does anyone know a good things to train on in runescape to raise my lvl im lvl 34?	4
Has anyone heard of inbox.com?	4
Does Cleveland have a chance for a comeback??	5
Where/ When and what channel can I watch a repeat soccer game arsenal v barcelona??	5
Who should be the Titans head coach:Jeff Fisher, or Norm Chow the offensive coordinator?	5
Why can't you hit the ball with the curved side of the hockey stick?	5
scotlands prime minister is not supporting england,english media is slating him in press,grow up england?	5
have the sydney swans always had red and white striped socks?	5
Who fights the most in star wars?	5
what do you do when you have alot of things on your mind and my old man left me.?	5
Know of any good skateboarding sites?	5
which country will be the winner of worldcup 2006?	5
who played most matches in Brazil national team? how many total matches did he play?	5
Where is the best place for tailgate parties at USC games (Coliseum) for fans of the visiting team?	5
what was the spread from the duke, george washington basketball game?	5
what were the 1954 championship of basketball who won the championship?	5
Who’s the most celebrated middleweight in boxing history to have lost 19 fights?	5
HEY ARSENAL FANS!!who's ur fave gunner n why?plus. what do u think nex season holds 4 us?	5
what do i want if i am rich?	2
need help, how can i naturally enlarge my small breasts?	2
I have a pain in my Heart for some days, and mostly i think when i am tired. It is really bad?	2
I can't get to sleep very easily. What is an easy way to do so?	2
is withdrawal during sex is harmful for the guy?	2
plzzzz tell me if postinor causes missed periods ?????	2
Do we really need sleep?	2
how dangerous is cancer of the Liver?	2
How old do you think old is??	2
