sentence	label
still , at least from my perspective , a great camera for the money , and i 'm a happy camper ! .	1
 	1
in conclusion , i gave the ipod a 4/5 because anything this expensive should would work just about flawlessly .	1
8 . connected the phone to my tablet pc and now can access company von at 56k speed via bluetooth .	1
other than that , the simian series 60 os is great and offers lots of proprietary software that will work on your phone if you 're willing to hunt for it .	1
strong points : - design : small , comfortable , curved , and stylish .	1
it doesn 't stink , ever ( like some have assumed since it doesn 't wrap each diaper into its own neat little cocoon ) .	1
all the " cool " features of the mini , but with 20gb instead of 5 .	1
it is heavy enough to make it stable , but not too heavy to preclude hand use .	1
this is my fourth linksys product and , aside from the rough start , i 'm very satisfied with this router .	1
it has all the features one would need in a cellphone .	1
i love all of the features , and presets as well .	1
if you have to buy a camera on a bu get , this has got to be the one .	1
they also sound excellent compared to other earbuds including retail sets like panasonic's and sennheisers .	1
i have not had any distortion problems with this phone and am more pleased with this phone than any i 've used before .	1
norton support is completely pathetic .	0
on occasion i 'm not able to connect to the phone with isync via bluetooth but i found that rebooting the phone seems to solve this problem .	0
i could hardly use it without a recharge in 2 days ! .	0
there is also no voice recording , something most if not all mp3 players have that the ipod doesn 't .	0
and the battery life is bad ! .	0
in noisy environment , it 's hard to hear from the earpiece .	0
but i had to give you four because the service for my brand-new ipod was terribly slow .	0
long reboots due to norton taking forever to boot .	0
also , not liking the gel case .	0
the vibrate setting is loud ! .	0
some of the higher pitched rings are very easy to hear , but not easy to listen to .	0
only con i can think of is no camera . . . .	0
i must have heard this about a dozen times over the span of 2 weeks , when t-zones never worked .	0
of course , if you try to reach symantec customer service you get useless automated systems unless you want to pay $30 per incident .	0
do not buy any home version of norton anything .	0
these people takes lest effort to process rebate forms .	0
the touch buttons are textured so that your finger sdon 't slip which was very thoughtful .	1
