text	label
Fair Leda's daughter had a thousand wooers ; Then well one more may fair Bianca have.	0
Do but look up.	0
Fathers that wear rags Do make their children blind.	0
You hear the suit.	0
She was too fond of her most filthy bargain.	0
I know him well.	0
The murmuring surge That on th' unnumbered idle pebbles chafes Can not be heard so high.	0
If Signor Leonato be her father, she would not have his head on her shoulders for all Messina, as like him as she is.	0
It is the lady that Pyramus must love.	0
But not with such familiar instances Nor with such free and friendly conference As he hath used of old.	0
Why then,'tis good to be a post.	0
Thou must know,'Tis not my profit that does lead mine honor ; Mine honor, it.	0
Let not the heavens hear these telltale women Rail on the Lord's anointed.	0
I did her wrong, Canst tell how an oyster makes his shell?	0
Howl, howl, howl, howl!	0
There was none such in the army of any sort.	0
No disgrace Shall fall you for refusing him at sea, Being prepared for land.	0
If you do not, if I be left alone, Now, by mine honor, which is yet mine own, I'll have that doctor for my bedfellow.	0
Had all his hairs been lives My great revenge had stomach for them all.	0
What think you on't?	0
E'en so, my lord.	0
Then keep thy vow, sirrah, when thou meet'st the fellow.	0
Take heed, Signior Baptista, lest you be cony-catched in this business.	0
Tomorrow dinner, then?	0
Out of my sight!	0
Make all the money thou canst.	0
Thou strik'st not me,'tis Caesar thou defeat'st.	0
"Are they ""informed"" of this?"	0
She wished she had not heard it, yet she wished That heaven had made her such a man.	0
Let specialties be therefore drawn between us, That covenants may be kept on either hand.	0
A dream itself is but a shadow.	0
A calendar, a calendar!	0
Indeed he is not fit.	0
What, is the jay more precious than the lark Because his feathers are more beautiful?	0
I pray you, sir, hold your hand.	0
These ducats pawn I for my father here.	0
That's mercy, but too much security.	0
Whither are you going?	0
I have heard too much, and your words and performances are no kin together.	0
With what persuasion did he tempt thy love?	0
Look you, if you take the matter otherwise than is meant, Captain Macmorris, peradventure I shall think you do not use me with that affability as, in discretion, you ought to use me, look you, being as good a man as yourself, both in the disciplines of war and in the derivation of my birth and in other particularities.	0
Sir John Falstaff.	0
I dare damnation.	0
Yet marked I where the bolt of Cupid fell.	0
No, lad.	0
But now in the division of the kingdom, it appears not which of the dukes he values most, for equalities are so weighed that curiosity in neither can make choice of either's moiety.	0
A howling monster, a drunken monster.	0
I stay too long from her.	0
Therefore I say with noble Buckingham That it is meet so few should fetch the prince.	0
No, I am a Welshman.	0
By my faith, he is very swift and sententious.	0
Your brother the Bastard is fled from Messina.	0
All the power of his wits have given way to his impatience.	0
These words are not mine.	0
Speak.	0
It is a man's office, but not yours.	0
A play there is, my lord, some ten words long, Which is as brief as I have known a play.	0
What mean you, Caesar?	0
Most like a gentleman.	0
We are three of them.	0
Shall, Antipholus, Even in the spring of love thy love-springs rot?	0
Ay, you would beg, Were you in my distress.	0
And friends with Caesar.	0
So Chrish save me, I will cut off your head.	0
So are those crisped snaky golden locks Which maketh such wanton gambols with the wind, Upon supposed fairness, often known To be the dowry of a second head, The skull that bred them in the sepulcher.	0
Demetrius loves her, and he loves not you.	0
True.	0
May be she doth but counterfeit.	0
For me, with sorrow I embrace my fortune.	0
Pray, what do you think is his name?	0
Wherefore speaks he this To her he hates?	0
I could do more to do Antonius good, But'twould offend him, and in his offense Should my performance perish.	0
