sentence	label
 . . . for all its social and political potential , state property doesn't end up being very inspiring or insightful .	0
none of these characters resembles anyone you've ever met in real life , unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only come from the pen of a screenwriter .	0
 . . . a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .	0
it's like a drive-by . you can drive right by it without noticing anything special , save for a few comic turns , intended and otherwise .	0
the film falls short on tension , eloquence , spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries .	0
certain to be distasteful to children and adults alike , eight crazy nights is a total misfire .	0
with its hints of a greater intelligence lurking somewhere , the ring makes its stupidity more than obvious . it's painful .	0
benigni's pinocchio is extremely straight and mind-numbingly stilted , its episodic pacing keeping the film from developing any storytelling flow .	0
while [hill] has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .	0
at the bottom rung of the series' entries .	0
 . . . the movie is just a plain old monster .	0
the verdict : two bodies and hardly a laugh between them .	0
the only reason you should see this movie is if you have a case of masochism and an hour and a half to blow .	0
never having seen the first two films in the series , i can't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams left in the broiling sun for a good three days .	0
exhibits the shallow sensationalism characteristic of soap opera . . . more salacious telenovela than serious drama .	0
satisfyingly scarifying , fresh and old-fashioned at the same time .	1
what bloody sunday lacks in clarity , it makes up for with a great , fiery passion .	1
the year 2002 has conjured up more coming-of-age stories than seem possible , but take care of my cat emerges as the very best of them .	1
astonishingly skillful and moving . . . it could become a historically significant work as well as a masterfully made one .	1
a riveting story well told .	1
contradicts everything we've come to expect from movies nowadays . instead of simply handling conventional material in a conventional way , secretary takes the most unexpected material and handles it in the most unexpected way .	1
it's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip .	1
count on his movie to work at the back of your neck long after you leave the theater .	1
a rather brilliant little cult item : a pastiche of children's entertainment , superhero comics , and japanese animation .	1
nothing's at stake , just a twisty double-cross you can smell a mile away--still , the derivative nine queens is lots of fun .	1
a sloppy , amusing comedy that proceeds from a stunningly unoriginal premise .	1
it somehow managed to make its way past my crappola radar and find a small place in my heart	1
the pitch must have read like a discarded house beautiful spread .	1
turns potentially forgettable formula into something strangely diverting .	1
 . . . while dark water isn't a complete wash ( no pun intended ) , watched side-by-side with ringu , it ultimately comes off as a pale successor .	1
director alfonso cuaron gets vivid , convincing performances from a fine cast , and generally keeps things going at a rapid pace , occasionally using an omniscient voice-over narrator in the manner of french new wave films .	1
horrible	0
