text	label
Wilkinson to raise the bar Sir Clive Woodward yesterday joined the chorus of acclaim that greeted Jonny Wilkinson #39;s return to action on Tuesday night after eight months on the sidelines with a neck injury. 	1
Jets QB Pennington Signs  #36;64M Extension (AP) AP - Chad Pennington agreed to a  #36;64 million, seven-year contract extension with the New York Jets on Wednesday that includes  #36;23 million in guaranteed money.	1
Notes: NCAA #39;s Brand wants fiscal responsibility With a package of academic reforms in place, the NCAA #39;s next crusade will address what its president calls a dangerous drift toward professionalism and sports entertainment.	1
Diamondbacks Pass on Grace for Manager (AP) AP - The Arizona Diamondbacks are starting to shorten their list of managerial candidates, and Mark Grace is out of the running for the job.	1
BUDDY BATTLE TOPS HEAVYWEIGHT CARD It #39;s moments like this when boxing fans must know that the folks at HBO and the Garden don #39;t take you seriously. Seriously now.	1
WOODS #39; BRAVEST ROUND It was not the lowest round of his career and nor was it the best of the day. But the four-under-par 68 produced by a suffering Tiger Woods in the opening round of the American Express world championship at 	1
Hawking is a teen role model Author and academic Professor Stephen Hawking is more of a role model to teenage boys than England football captain David Beckham, says a Good Housekeeping magazine survey.	1
Nomar will consider returning to Cubs Nomar Garciaparra can become a free agent after the World Series and will consider returning to the Chicago Cubs, his team for the final two months this season.	1
Knicks Top 76ers Day After Helm Resigns (AP) AP - Lenny Wilkens gained some job security despite coaching without a hand-picked assistant for the first time in his career as the New York Knicks defeated the Philadelphia 76ers 96-88 Tuesday night.	1
Lindley Leads LPGA Longs Drugs Challenge (AP) AP - Leta Lindley birdied seven holes Saturday to shoot a 6-under 65 and take a one-shot lead over two-time champion Juli Inkster after three rounds at the LPGA Longs Drugs Challenge.	1
Goosen on Top at Grand Slam  KAUAI, Hawaii (Sports Network) - Reigning U.S. Open  champion Retief Goosen shot a seven-under-par 65 on Tuesday to  take the lead after the opening round of the PGA Grand Slam of  Golf.	1
Springboks beat Australia in tr-nations rugby South Africa has defeated Australia in the final match of the rugby Tri Nations series. Africa correspondent Sally Sara reports, the Springboks won 23 to 19 in front of a home crowd in Durban.	1
Bank Joins Team Fighting Man Utd Takeover Japanese investment bank Nomura has been working on a financial package to block a takeover of Manchester United, it was reported today.	1
Tiger out of tourney line-up Changes over the past 11 months should also force golfers to deal with a bear of a course. But to the sure lament of golf fans, a once-promised Tiger will no longer be part of the show.	1
SI.com TORONTO (Ticker) -- A day after clinching their seventh straight division crown, the New York Yankees had cause for concern. Toronto Blue Jays rookie David Bush outdueled ailing veteran Orlando Hernandez in 	1
Controversy continues to follow Bryant Seldom has someone insisted on privacy more while behaving in ways that guaranteed him less. There are places we #39;re not supposed to go, but we #39;re continually being dragged 	1
Death toll from tropical storm is nearly 600 in Haiti Rescuers pulled bodies from floodwaters yesterday that raged through parts of Haiti #39;s third-largest city, sweeping people from their homes and driving survivors into trees, atop cars and onto rooftops after Tropical Storm Jeanne.	0
Car bomb attack on US convoy in Mosul: police MOSUL, Iraq - A car bomb struck a US military convoy on Monday in the northern Iraqi city of Mosul, an Iraqi police officer told AFP.	0
Iran optimistic over nuclear negotiations with EU TEHERAN - Iran said on Monday it was optimistic ahead of crucial talks with the European Union aimed at striking a long-term accord that would ease concerns over the countrys nuclear programme.	0
Israel's Sharon Accuses Far-Right of Inciting War  JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon  accused far-rightists on Sunday of trying to incite civil war  over his plan to withdraw from the occupied Gaza Strip and  called for measures to curb such groups.	0
Why Brazil is reluctant to air its 'dirty' past After two decades of civilian government, Brazil is unwilling to take former officers of the dictatorship to task.	0
Israeli Army Kills Gunman in Gaza Strip (Reuters) Reuters - Israeli soldiers shot dead a\Palestinian gunman in the Gaza Strip Sunday as he approached\the border fence with Israel, the army said.	0
Peruvians face hunger, UN warns Thousands are going hungry in the Andean mountain region of southern Peru, says the World Food Programme.	0
