sentence	label
 AdvantaClean Systems Inc. is a privately held American franchise corporation with over 130 operational franchises nationwide providing mold remediation air duct and dryer vent cleaning emergency water removal and coil cleaning services to residential commercial and governmental clients.	0
 Work at Play is an Vancouver British Columbia based digital agency. Founded in 1999 by David Gratton Work at Play employs over 15 people. It previously operated as Donat Group Enterprises before a major re-branding in early 2009. Clients of Work at Play have included Mattel NBC Viacom BMW Films and Alli the Alliance of Action Sports.Over the years it has developed various products including DEQQ a Social Media Channel and VG Velocity a Digital Goods Management System .	0
 Air Nelson a subsidiary of Air New Zealand is a regional airline based in Nelson New Zealand. It operates services on provincial routes under the Air New Zealand Link brand. The airline operates one type of aircraft the 50 seat Bombardier Q300 which provides an intensive regional air service that cannot be sustained with regional jet types of this size.	0
 Lewis Leathers is the brand name of the oldest British motorcycle clothing company D. Lewis Ltd manufacturer of iconic leather jackets which was established in the late 19th century.The company supplied early aviators motorists and motorcyclists with protective clothing against the cold and damp British climate. In the mid-1950s D.	0
 MTME was established 17 March 2004 in DAFZA - Dubai Airport Free Zone Authority and its upcoming technology project Dubai Silicon Oasis Dubai United Arab Emirates as a research lab for new media technologies in the Arabic speaking world.	0
 Real Times Media LLC is the owner and publisher of the Chicago Defender the largest and most influential African-American weekly newspaper as well as five other regional weeklies in the eastern and Midwestern United States. Its headquarters are in Midtown Detroit.The company was founded in January 2003 by a consortium of Chicago and Detroit business leaders to take over the assets of Sengstacke Enterprises Inc. the longtime owner of five of the papers.	0
 Motion Equity Partners is a private equity firm focused on leveraged buyout investments in European middle-market companies across a range of industries.The firm has offices in London Milan and Paris. The firm was founded in 1989 as Electra Partners Europe and affiliate of Electra Private Equity a listed investment trust. The firm has raised approximately €2.3 billion since inception across its two funds.	0
 Woolstenhulmes & Rye was a company that manufactured stationary steam engines. It was based in Oldham Greater Manchester in England. The company produced large steam-driven engines for textile mills in Oldham and elsewhere.	0
 KSS Design Group is a company that specialises in architecture interior design graphics and branding. It is named after David Keirle Andy Simons and Martin Salter who founded the company.	0
 Atticus is a brand of clothing founded in 2001 by Mark Hoppus and Tom DeLonge of Blink-182 along with their childhood friend Dylan Anderson.	0
 Ferozsons (Pvt) Limited (also Ferozsons Publishers) (Urdu: فیروزسنز‎) is a Pakistani publishing arm in Lahore. It is a book publishing house in Pakistan since 1894.	0
 Vlchek Tool Company was a hand tool manufacturer. Vlchek originally made and sharpened tools for stonecutters and masons and later made tools for automobiles and for agriculture machinery. Vlchek Tool Company was founded as a blacksmith shop in 1894 in Cleveland Ohio by Frank Vlchek it was incorporated in 1909. In 1958 Pendleton Tool Industries Co. bought out the Vlchek Tool Company. In 1964 Pendleton itself merged with Ingersoll-Rand.	0
 Annalee Dolls Inc. also known as Annalee Mobilitee Dolls Inc. and AMD Holdings Inc. is a company located in Meredith New Hampshire that manufactures collectible dolls. The company was founded by Barbara Annalee Davis (later Thorndike) who died in 2002. At the company's height it filled over 14 acres (5.7 ha) of land dotted with seven buildings containing 34000 square feet (3200 m2) of space and had US$15 million in sales with 300 employees. The popularity of Annalee Dolls led R.	0
 The Lowell Regional Transit Authority (LRTA) is a public non-profit organization in Massachusetts charged with providing public transportation to the Greater Lowell area. This primarily includes the city of Lowell and the towns of Billerica Burlington Dracut Chelmsford Tewksbury Tyngsborough Westford and Wilmington.	0
 JumbleMe.com is an online email encryption service which protects electronically transmitted information.	0
 Volta Mining Limited ASX: VTM is an emerging iron ore company based in Perth Australia with current interests in the acquisition exploration and development of iron ore assets.Volta Mining has recently strengthened its iron ore portfolio with the acquisition of the entire issued capital of Pilbara Commodities Limited which holds a 100% interest in 19 exploration licences in the Pilbara region of Australia including the prospective Newman Iron Ore Project.Volta Mining Limited ASX: VTM is an emerging iron ore company based in Perth Australia with current interests in the acquisition exploration and development of iron ore assets predominantly in Australia.Its current Australian iron ore project portfolio includes the Hancock Ranges Iron Ore Project and the Hamersley Ranges Iron Ore Project in the Pilbara region of Australia..Volta Mining listed on the ASX on 19 October 2011.	0
 Sebeka High School is a public high school in Sebeka Minnesota serving grades 7–12. The high school is part of Sebeka Public School (Independent School District 820) and is contained within the same building as the elementary school. Sebeka's mascot is the Trojan.In addition to Sebeka the school also serves the community of Nimrod.	1
 The Henry County School District is a public school district in Henry County Georgia USA based in McDonough Georgia. It serves the communities of Blacksville Flippen Hampton Kelleytown Locust Grove McDonough Ola and Stockbridge Georgia.	1
 American University of Phnom Penh is a private university founded in September 2013[needs copy edit] based in Phnom Penh Cambodia. Their goal is to provide post-secondary educational option in Cambodia to the citizens of the Kingdom.	1
 Oak-Land Jr. High School is located in Lake Elmo Minnesota. Oak-Land is part of the Stillwater Area Public Schools independent school district #834. Oak-Land Jr. High is home to approximately 1000 7th 8th and 9th Grade students.	1
