sentence	label
steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .	3
a vivid , sometimes surreal , glimpse into the mysteries of human behavior .	3
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation .	3
presents a side of contemporary chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation .	3
can you bear the laughter ?	3
a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .	3
both garcia and jagger turn in perfectly executed and wonderfully sympathetic characters , who are alternately touching and funny .	3
great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium-seat megaplex .	3
the hook is the drama within the drama , as an unsolved murder and an unresolved moral conflict jockey for the spotlight .	3
as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances .	3
the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .	3
... a guiltless film for nice evening out .	3
an entertaining documentary that freshly considers arguments the bard 's immortal plays were written by somebody else .	3
though the aboriginal aspect lends the ending an extraordinary poignancy , and the story itself could be played out in any working class community in the nation .	3
an old-fashioned scary movie , one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts .	3
by the final whistle you 're convinced that this mean machine was a decent tv outing that just does n't have big screen magic .	1
shows moments of promise but ultimately succumbs to cliches and pat storytelling .	1
if you saw benigni 's pinocchio at a public park , you 'd grab your kids and run and then probably call the police .	1
first-timer john mckay is never able to pull it back on course .	1
the modern-day characters are nowhere near as vivid as the 19th-century ones .	1
any attempts at nuance given by the capable cast is drowned out by director jon purdy 's sledgehammer sap .	1
mctiernan 's remake may be lighter on its feet -- the sober-minded original was as graceful as a tap-dancing rhino -- but it is just as boring and as obvious .	1
an uneven mix of dark satire and childhood awakening .	1
ultimately , the film never recovers from the clumsy cliché of the ugly american abroad , and the too-frosty exterior ms. paltrow employs to authenticate her british persona is another liability .	1
a minor-league soccer remake of the longest yard .	1
in old-fashioned screenwriting parlance , ms. shreve 's novel proved too difficult a text to ` lick , ' despite the efforts of a first-rate cast .	1
green ruins every single scene he 's in , and the film , while it 's not completely wreaked , is seriously compromised by that .	1
a disaster of a drama , saved only by its winged assailants .	1
while the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires .	1
for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .	1
do n't let the subtitles fool you ; the movie only proves that hollywood no longer has a monopoly on mindless action .	1
being latently gay and liking to read are hardly enough .	2
has some visual wit ... but little imagination elsewhere .	2
film ca n't quite maintain its initial momentum , but remains sporadically funny throughout .	2
ruh-roh !	2
the innocence of holiday cheer ai n't what it used to be .	2
the film has a childlike quality about it .	2
has not so much been written as assembled , frankenstein-like , out of other , marginally better shoot-em-ups .	2
pure of intention and passably diverting , his secret life is light , innocuous and unremarkable .	2
robin williams departs from his fun friendly demeanor in exchange for a darker unnerving role .	2
a sha-na-na sketch punctuated with graphic violence .	2
if mr. zhang 's subject matter is , to some degree at least , quintessentially american , his approach to storytelling might be called iranian .	2
but the execution is a flop with the exception of about six gags that really work .	2
the trinity assembly approaches the endeavor with a shocking lack of irony , and george ratliff 's documentary , hell house , reflects their earnestness -- which makes for a terrifying film .	2
the plot meanders from gripping to plodding and back .	2
i found myself more appreciative of what the director was trying to do than of what he had actually done .	2
the film virtually chokes on its own self-consciousness .	2
mib ii is a movie that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and\/or restroom and not feel as if he or she has missed anything .	0
... a weak and ineffective ghost story without a conclusion or pay off .	0
a dull , dumb and derivative horror film .	0
in fact , it does n't even seem like she tried .	0
one of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from ms. spears .	0
this long and relentlessly saccharine film is a clear case of preaching to the converted .	0
talky , artificial and opaque ... an interesting technical exercise , but a tedious picture .	0
for all of its insights into the dream world of teen life , and its electronic expression through cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 1\/2 - hour running time .	0
a devastating indictment of unbridled greed and materalism .	0
feels strangely hollow at its emotional core .	0
it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .	0
while the story is better-focused than the incomprehensible anne rice novel it 's based upon , queen of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .	0
a loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .	0
every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .	0
and it 's not that funny -- which is just generally insulting .	0
why spend $ 9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ?	0
first and foremost ... the reason to go see `` blue crush '' is the phenomenal , water-born cinematography by david hennings .	4
the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .	4
stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .	4
( washington 's ) strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene .	4
sensual , funny and , in the end , very touching .	4
the film is a hoot , and is just as good , if not better than much of what 's on saturday morning tv especially the pseudo-educational stuff we all ca n't stand .	4
ms. hutchins is talented enough and charismatic enough to make us care about zelda 's ultimate fate .	4
an admirable , sometimes exceptional film	4
this comic gem is as delightful as it is derivative .	4
others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison 's iconoclastic uses of technology to be liberating .	4
moving and vibrant .	4
( reynolds ) takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .	4
brian tufano 's handsome widescreen photography and paul grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special .	4
a truly wonderful tale combined with stunning animation .	4
the most wondrous love story in years , it is a great film .	4
about schmidt is undoubtedly one of the finest films of the year .	4
another love story in 2002 's remarkable procession of sweeping pictures that have reinvigorated the romance genre .	3
a fascinating , bombshell documentary that should shame americans , regardless of whether or not ultimate blame finally lies with kissinger .	4
an engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .	4
see scratch for the history , see scratch for the music , see scratch for a lesson in scratching , but , most of all , see it for the passion .	4
... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .	4
for all its visual panache and compelling supporting characters , the heart of the film rests in the relationship between sullivan and his son .	4
( a ) wonderfully loopy tale of love , longing , and voting .	4
intelligent and moving .	4
finely crafted , finely written , exquisitely performed	4
