sentence	label
the emotional overload of female angst irreparably drags the film down .	0
if you're not totally weirded- out by the notion of cinema as community-therapy spectacle , quitting hits home with disorienting force .	0
if you dig on david mamet's mind tricks . . . rent this movie and enjoy !	0
even the finest chef can't make a hotdog into anything more than a hotdog , and robert de niro can't make this movie anything more than a trashy cop buddy comedy .	0
there's no emotional pulse to solaris . with an emotional sterility to match its outer space setting , soderbergh's spectacular swing for the fence yields only a spectacular whiff .	0
divine secrets of the ya-ya sisterhood may not be exactly divine , but it's definitely -- defiantly -- ya ya , what with all of those terrific songs and spirited performances .	0
despite its flaws , crazy as hell marks an encouraging new direction for la salle .	0
what we have here is an examination of fathers , sons and sibling rivalry - squared and sideways	0
an exhaustive investigation into the roots and after-effects of the revolutions and counter-revolutions that rocked france , the u . s . , china , latin america and czechoslovakia in 1967 and 1968 .	0
 . . . unlikable , uninteresting , unfunny , and completely , utterly inept .	0
a zippy , enormously entertaining heist movie that , with a kind heart at its core , encompasses the styles of yesterday , today , and if we're lucky , maybe even tomorrow .	0
davis . . . is so enamored of her own creation that she can't see how insufferable the character is .	0
not quite as miraculous as its dreamworks makers would have you believe , but it more than adequately fills the eyes and stirs the emotions .	0
what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure .	0
performances all around are tops , with the two leads delivering oscar-caliber performances .	0
a big meal of cliches that the talented cast generally chokes on .	0
a bad and bloody gang war is about to erupt on the dysfunctional streets of brooklyn .	1
she takes a fancy to chan kwok chan , whom she stalks .	1
tom is a charismatic late-night radio talk show host , whose unconventional upbringing has made him a little too quick to fall in love and marry , resulting in three divorces before the age of 40 .	1
the tale of ancanar is an original fantasy story inspired by the author j . r . r . tolkien .	1
they both end up experiencing more excitement than mickey could ever conjure in orlando , when they meet up with bad guys and a legendary creature .	1
wounded by tom's derision , michael befriends ex-convict everette hatch , who , recognizing opportunity , exploits michael's ideas to his advantage .	1
" "" notebook "" follows a young couple ( mcadams and gosling ) who meet in their teens and are reunited after world war ii ."	1
this ensemble comedy tells ten separate ( but intertwining ) stories of love in london ( with a small portion set in france ) , leading up to a big climax on christmas eve .	1
after happily flunking out of several prep schools , igby escapes into the bohemian underworld of manhattan .	1
when a shoulder injury ended his minor league pitching career twelve years ago , jim morris resorted to the next best thing : coaching .	1
seymour polatkin is a successful , gay indian poet from spokane who confronts his past when he returns to his childhood home on the reservation to attend the funeral of a dear friend .	1
ultimately , it is harold who timidly suggests participating in the upcoming duct tape festival in minneapolis-st .	1
bruce is a down on his luck tv news reporter .	1
an alcoholic ex-school teacher takes a job watching security cameras in the same house .	1
especially one of them , holo tokyo boy , was designed to be her lover .	1
maggie's daughter is kidnapped , forcing father and estranged daughter to work together to get her back .	1
