sentence	label
a story which fails to rise above its disgusting source material .	0
the original wasn't a good movie but this remake makes it look like a masterpiece !	0
a tedious parable about honesty and good sportsmanship .	0
flaccid drama and exasperatingly slow journey .	0
works better in the conception than it does in the execution . . . winds up seeming just a little too clever .	0
purports to be a hollywood satire but winds up as the kind of film that should be the target of something deeper and more engaging . oh , and more entertaining , too .	0
a chilly , remote , emotionally distant piece . . . so dull that its tagline should be : 'in space , no one can hear you snore . '	0
it has all the excitement of eating oatmeal .	0
the final result makes for adequate entertainment , i suppose , but anyone who has seen chicago on stage will leave the theater feeling they've watched nothing but a pale imitation of the real deal .	0
you come away thinking not only that kate isn't very bright , but that she hasn't been worth caring about and that maybe she , janine and molly -- an all-woman dysfunctional family -- deserve one another .	0
care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman's destructive escapism or the grace-in-rebellion found by his characters .	0
a workshop mentality prevails .	0
no telegraphing is too obvious or simplistic for this movie .	0
the film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo .	0
nearly all the fundamentals you take for granted in most films are mishandled here .	0
shot largely in small rooms , the film has a gentle , unforced intimacy that never becomes claustrophobic .	1
lan yu seems altogether too slight to be called any kind of masterpiece . it is , however , a completely honest , open-hearted film that should appeal to anyone willing to succumb to it .	1
film can't quite maintain its initial momentum , but remains sporadically funny throughout .	1
it's hard to fairly judge a film like ringu when you've seen the remake first . many of the effective horror elements are dampened through familiarity , [yet] are worthwhile .	1
the best way to describe it is as a cross between paul thomas anderson's magnolia and david lynch's mulholland dr .	1
hashiguchi uses the situation to evoke a japan bustling atop an undercurrent of loneliness and isolation .	1
crackerjack entertainment -- nonstop romance , music , suspense and action .	1
famuyiwa's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .	1
there are times when you wish that the movie had worked a little harder to conceal its contrivances , but brown sugar turns out to be a sweet and enjoyable fantasy .	1
 " brown sugar " admirably aspires to be more than another " best man " clone by weaving a theme throughout this funny film .	1
escapism in its purest form .	1
the script is smart , not cloying .	1
the best didacticism is one carried by a strong sense of humanism , and bertrand tavernier's oft-brilliant safe conduct ( " laissez-passer " ) wears its heart on its sleeve .	1
methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it's so successful at lodging itself in the brain .	1
changing lanes is an anomaly for a hollywood movie ; it's a well-written and occasionally challenging social drama that actually has something interesting to say .	1
[it's] a clever thriller with enough unexpected twists to keep our interest .	1
the modern-day characters are nowhere near as vivid as the 19th-century ones .	0
