sentence	label
beyond the cleverness , the weirdness and the pristine camerawork , one hour photo is a sobering meditation on why we take pictures .	3
nice piece of work .	3
the closest thing to the experience of space travel	3
despite the surface attractions -- conrad l. hall 's cinematography will likely be nominated for an oscar next year -- there 's something impressive and yet lacking about everything .	3
the movie , despite its rough edges and a tendency to sag in certain places , is wry and engrossing .	3
sometimes charming , sometimes infuriating , this argentinean ` dramedy ' succeeds mainly on the shoulders of its actors .	3
elling builds gradually until you feel fully embraced by this gentle comedy .	3
an extremely funny , ultimately heartbreaking look at life in contemporary china .	3
if mostly martha is mostly unsurprising , it 's still a sweet , even delectable diversion .	3
funny and touching .	3
good-naturedly cornball sequel .	3
this movie got me grinning .	3
like kissing jessica stein , amy 's orgasm has a key strength in its willingness to explore its principal characters with honesty , insight and humor .	3
the trick when watching godard is to catch the pitch of his poetics , savor the pleasure of his sounds and images , and ponder the historical , philosophical , and ethical issues that intersect with them .	3
the film delivers what it promises : a look at the `` wild ride '' that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans .	3
this is amusing for about three minutes .	2
crikey indeed .	2
handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism .	2
about a boy vividly recalls the cary grant of room for one more , houseboat and father goose in its affectionate depiction of the gentle war between a reluctant , irresponsible man and the kid who latches onto him .	2
this is n't a terrible film by any means , but it 's also far from being a realized work .	2
this film was made by and for those folks who collect the serial killer cards and are fascinated by the mere suggestion of serial killers .	2
it 's deep-sixed by a compulsion to catalog every bodily fluids gag in there 's something about mary and devise a parallel clone-gag .	2
with a confrontational stance , todd solondz takes aim on political correctness and suburban families .	2
the plot is romantic comedy boilerplate from start to finish .	2
and `` they 're coming ! ''	2
you want to call domino 's .	2
oops , she 's really done it this time .	2
i wo n't argue with anyone who calls ` slackers ' dumb , insulting , or childish ... but i laughed so much that i did n't mind .	2
far-fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love .	2
we get light showers of emotion a couple of times , but then -- strangely -- these wane to an inconsistent and ultimately unsatisfying drizzle .	2
it 's sincere to a fault , but , unfortunately , not very compelling or much fun .	2
ever see one of those comedies that just seem like a bad idea from frame one ?	1
yes , spirited away is a triumph of imagination , but it 's also a failure of storytelling .	1
aan opportunity wasted .	1
the dialogue is cumbersome , the simpering soundtrack and editing more so .	1
the acting is fine but the script is about as interesting as a recording of conversations at the wal-mart checkout line .	1
as the mediterranean sparkles , ` swept away ' sinks .	1
it 's also built on a faulty premise , one it follows into melodrama and silliness .	1
the modern-day characters are nowhere near as vivid as the 19th-century ones .	1
the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .	1
an average b-movie with no aspirations to be anything more .	1
these self-styled athletes have banged their brains into the ground so frequently and furiously , their capacity to explain themselves has gone the same way as their natural instinct for self-preservation .	1
... stale and uninspired .	1
a fake street drama that keeps telling you things instead of showing them .	1
weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .	1
a disappointment for a movie that should have been the ultimate imax trip .	1
tries too hard to be funny in a way that 's too loud , too goofy and too short of an attention span .	1
this comic gem is as delightful as it is derivative .	4
last orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced .	4
an engrossing and infectiously enthusiastic documentary .	4
a lively and engaging examination of how similar obsessions can dominate a family .	4
tully is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham .	4
with a cast of a-list brit actors , it is worth searching out .	4
it 's endlessly inventive , consistently intelligent and sickeningly savage .	4
ryan gosling is , in a word , brilliant as the conflicted daniel .	4
that 's fun for kids of any age .	4
miyazaki has created such a vibrant , colorful world , it 's almost impossible not to be swept away by the sheer beauty of his images .	4
a remarkable film by bernard rose .	4
daring and beautifully made .	4
this is a superior horror flick .	4
manages to be both hugely entertaining and uplifting .	4
not since ghostbusters has a film used manhattan 's architecture in such a gloriously goofy way .	4
barry convinces us he 's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful .	4
you 'll find yourself wishing that you and they were in another movie .	0
one of the more glaring signs of this movie 's servitude to its superstar is the way it skirts around any scenes that might have required genuine acting from ms. spears .	0
crummy .	0
it 's a road-trip drama with too many wrong turns .	0
turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters	0
then again , in a better movie , you might not have noticed .	0
lacks the spirit of the previous two , and makes all those jokes about hos and even more unmentionable subjects seem like mere splashing around in the muck .	0
abysmally pathetic	0
extremely bad .	0
there 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present .	0
the movie fails to portray its literarily talented and notorious subject as anything much more than a dirty old man .	0
the acting is n't much better .	0
tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality .	0
a banal , virulently unpleasant excuse for a romantic comedy .	0
you have no affinity for most of the characters .	0
`` sorority boys '' was funnier , and that movie was pretty bad .	0
what 's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be .	3
